Output_data2
Counter,Site,pos_X,pos_Y,Bin Results
1,2,17,4,H/H
2,3,18,5,I/P
3,4,19,6,I/P
4,0,14,2,H/H
5,1,15,3,V/V
6,2,16,4,./.
7,3,17,5,./.
8,4,18,6,V/V
9,5,19,7,I/P
10,7,21,9,I/P
11,0,12,1,M/y
12,1,13,2,./.
13,2,14,3,./.
14,3,15,4,./.
15,4,16,5,D/x
16,5,17,6,./.
17,6,18,7,Z/3
18,7,19,8,C/C
19,0,11,1,./.
20,1,12,2,./.
21,2,13,3,./.
22,3,14,4,./.
23,4,15,5,./.
24,5,16,6,./.
25,6,17,7,./.
26,7,18,8,./.
27,0,9,0,./.
28,1,10,1,M/4
29,2,11,2,./.
30,3,12,3,./.
31,4,13,4,./.
32,5,14,5,./.
33,6,15,6,./.
34,7,16,7,./.
35,0,8,0,D/y
36,1,9,1,./.
37,2,10,2,./.
38,3,11,3,./.
39,4,12,4,./.
40,5,13,5,./.
41,6,14,6,M/s
42,7,15,7,I/A
43,0,7,0,E/E
44,1,8,1,./.
45,2,9,2,./.
46,3,10,3,B/B
47,4,11,4,./.
48,5,12,5,./.
49,6,13,6,./.
50,7,14,7,./.
51,0,6,0,./.
52,1,7,1,./.
53,2,8,2,./.
54,3,9,3,./.
55,4,10,4,./.
56,5,11,5,./.
57,6,12,6,D/y
58,7,13,7,D/x
59,0,5,0,./.
60,1,6,1,./.
61,2,7,2,./.
62,3,8,3,./.
63,4,9,4,./.
64,5,10,5,./.
65,6,11,6,M/x
66,7,12,7,./.
67,0,4,0,./.
68,1,5,1,./.
69,2,6,2,./.
70,3,7,3,./.
71,4,8,4,./.
72,5,9,5,./.
73,6,10,6,./.
74,7,11,7,./.
75,0,3,0,./.
76,1,4,1,./.
77,2,5,2,./.
78,3,6,3,F/F
79,4,7,4,./.
80,5,8,5,./.
81,6,9,6,./.
82,7,10,7,./.
83,0,2,0,Z/3
84,1,3,1,./.
85,2,4,2,./.
86,3,5,3,./.
87,4,6,4,./.
88,5,7,5,./.
89,6,8,6,./.
90,7,9,7,./.
91,0,1,0,./.
92,1,2,1,./.
93,2,3,2,./.
94,3,4,3,./.
95,4,5,4,./.
96,5,6,5,./.
97,6,7,6,./.
98,7,8,7,./.
99,0,0,0,./.
100,1,1,1,./.
101,2,2,2,./.
102,3,3,3,./.
103,4,4,4,./.
104,5,5,5,./.
105,6,6,6,./.
106,7,7,7,./.
107,0,0,1,./.
108,1,1,2,./.
109,2,2,3,./.
110,3,3,4,./.
111,4,4,5,./.
112,5,5,6,./.
113,6,6,7,b/b
114,7,7,8,./.
